id,method,path,category,description,parameters
GET__api_ddd_all-drivers_download,GET,/api/ddd/all-drivers/download,drivers,API endpoint,"[{""name"": ""month"", ""description"": ""JANUARY, FEBRUARY, MARCH, APRIL,"", ""type"": ""string"", ""required"": false}]"
GET__api_ddd_all-drivers_download-period,GET,/api/ddd/all-drivers/download-period,drivers,API endpoint,"[{""name"": ""month"", ""description"": ""JANUARY, FEBRUARY, MARCH, APRIL,"", ""type"": ""string"", ""required"": false}]"
GET__api_ddd_all-vehicles_download,GET,/api/ddd/all-vehicles/download,vehicles,API endpoint,"[{""name"": ""2023"", ""description"": ""01-21)."", ""type"": ""string"", ""required"": false}, {""name"": ""2023"", ""description"": ""05-21)."", ""type"": ""string"", ""required"": false}]"
GET__api_ddd_all-vehicles_download-period,GET,/api/ddd/all-vehicles/download-period,vehicles,API endpoint,"[{""name"": ""month"", ""description"": ""JANUARY, FEBRUARY, MARCH, APRIL,"", ""type"": ""string"", ""required"": false}]"
PUT__api_ddd_init-driver,PUT,/api/ddd/init-driver,drivers,API endpoint,"[{""name"": ""2025"", ""description"": ""01-"", ""type"": ""string"", ""required"": false}, {""name"": ""08T11"", ""description"": ""17:20Z)."", ""type"": ""string"", ""required"": false}, {""name"": ""2025"", ""description"": ""01-"", ""type"": ""string"", ""required"": false}, {""name"": ""08T11"", ""description"": ""17:20Z)."", ""type"": ""string"", ""required"": false}]"
PUT__api_ddd_init-vehicle,PUT,/api/ddd/init-vehicle,vehicles,API endpoint,"[{""name"": ""2020"", ""description"": ""01-08T11:17:20Z)."", ""type"": ""string"", ""required"": false}, {""name"": ""2020"", ""description"": ""01-09T11:17:20Z)."", ""type"": ""string"", ""required"": false}]"
POST__api_ddd_upload-drivers,POST,/api/ddd/upload-drivers,drivers,API endpoint,"[{""name"": ""2020"", ""description"": ""01-08T11:17:20Z)."", ""type"": ""string"", ""required"": false}, {""name"": ""2020"", ""description"": ""01-09T11:17:20Z)."", ""type"": ""string"", ""required"": false}]"
POST__api_ddd_upload-vehicles,POST,/api/ddd/upload-vehicles,vehicles,API endpoint,[]
GET__api_documents_expenses,GET,/api/documents/expenses,documents,API endpoint,[]
GET__api_documents_trip,GET,/api/documents/trip,documents,API endpoint,[]
POST__api_document_driver,POST,/api/document/driver,drivers,API endpoint,"[{""name"": ""values"", ""description"": ""DECLARATION,"", ""type"": ""string"", ""required"": false}, {""name"": ""Alpha"", ""description"": ""2 code)"", ""type"": ""string"", ""required"": false}]"
POST__api_document_vehicle,POST,/api/document/vehicle,vehicles,API endpoint,[]
GET__api_document_driver,GET,/api/document/driver,drivers,API endpoint,[]
DELETE__api_document_driver,DELETE,/api/document/driver,drivers,API endpoint,[]
GET__api_document_vehicle,GET,/api/document/vehicle,vehicles,API endpoint,[]
DELETE__api_document_vehicle,DELETE,/api/document/vehicle,vehicles,API endpoint,[]
GET__api_driver,GET,/api/driver,drivers,API endpoint,[]
POST__api_eco_append-to-group,POST,/api/eco/append-to-group,reports,API endpoint,"[{""name"": ""2020"", ""description"": ""01-21)."", ""type"": ""string"", ""required"": false}, {""name"": ""2020"", ""description"": ""01-21)."", ""type"": ""string"", ""required"": false}]"
